,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,"(('coal', 'electricity'), 'flow')","(('electricity', 'demand'), 'flow')","(('nuclear', 'electricity'), 'flow')","(('solar', 'electricity'), 'flow')","(('wind', 'electricity'), 'flow')"
0,0,0,2019-12-31,0.0,4000.0,0.0,3000.0,1000.0
1,1,1,2020-12-31,300.0,4100.0,800.0,3000.0,0.0
2,2,2,2021-12-31,0.0,4200.0,800.0,3000.0,400.0
3,3,3,2022-12-31,500.0,4300.0,800.0,500.0,2500.0
4,4,4,2023-12-31,500.0,4400.0,800.0,600.0,2500.0
5,5,5,2024-12-31,500.0,4500.0,800.0,700.0,2500.0
6,6,6,2025-12-31,500.0,4600.0,800.0,800.0,2500.0
7,7,7,2026-12-31,500.0,4700.0,800.0,900.0,2500.0
8,8,8,2027-12-31,500.0,4800.0,800.0,1000.0,2500.0
9,9,9,2028-12-31,500.0,4900.0,800.0,1100.0,2500.0
10,10,10,2029-12-31,0.0,5000.0,0.0,3000.0,2000.0
11,11,11,2030-12-31,0.0,5100.0,800.0,1800.0,2500.0
12,12,12,2031-12-31,0.0,5200.0,0.0,3000.0,2200.0
13,13,13,2032-12-31,500.0,5300.0,800.0,1500.0,2500.0
14,14,14,2033-12-31,500.0,5400.0,800.0,3000.0,1100.0
15,15,15,2034-12-31,500.0,5500.0,800.0,1700.0,2500.0
16,16,16,2035-12-31,,,,,
